simple_address_key,student_count,violation_count
15 WAINWRIGHT 02124,3,1
15 WOODWARD PARK 02125,2,1
150 BEACON 02116,1,1
150 BYRON 02128,1,1
150 CHESTNUT HILL 02135,7,2
150 EVERETT 02128,1,1
150 GLENWAY 02121,2,1
150 HUNTINGTON 02115,1149,1
150 LONDON 02128,3,2
150 STANIFORD 02114,23,1
150 STANWOOD 02121,1,3
150 TREMONT 02111,4,1
150 WALNUT 02119,2,2
1501 COMMONWEALTH 02135,78,1
1505 COMMONWEALTH 02135,274,1
151 CHARLES 02114,1,1
151 MERIDIAN 02128,5,1
151 TREMONT 02111,149,1
1515 VFW 02132,3,2
152 BEECH 02131,2,2
152 BREMEN 02128,1,1
152 PARKER HILL 02120,14,2
152 SALEM 02113,14,1
152 STRATHMORE 02135,6,1
152 WOOD 02136,4,1
1522 TREMONT 02120,17,1
153 RUSKINDALE 02136,1,3
153 SALEM 02113,9,1
153 SARATOGA 02128,3,5
154 CALUMET 02120,21,3
1545 TREMONT 02120,6,1
155 BAY STATE 02215,1,1
155 STRATHMORE 02135,4,1
156 BREMEN 02128,2,1
156 DANA 02136,1,1
156 NEPONSET 02122,3,1
156 WASHINGTON 02135,5,1
157 KILSYTH 02135,11,1
157 NEPONSET VALLEY 02136,1,2
157 PERHAM 02132,1,1
157 RIVER 02126,1,1
157 SALEM 02113,2,1
1572 COMMONWEALTH 02135,22,1
1572 TREMONT 02120,17,4
1574 TREMONT 02120,15,2
1575 TREMONT 02120,467,1
158 BAKER 02132,5,1
158 HILLSIDE 02120,25,2
158 SAINT BOTOLPH 02115,6,3
158 SALEM 02113,6,4
159 CALUMET 02120,2,1
159 CHELSEA 02128,1,1
159 DORCHESTER 02127,1,2
159 M 02127,2,1
159 SALEM 02113,5,1
16 ASHFORD 02134,58,1
16 BAIRD 02124,1,4
16 BARRY 02125,1,1
16 BATTERY 02109,32,1
16 BEXLEY 02131,2,1
16 CALDER 02124,2,1
16 CENTRE 02124,1,1
16 CHELSEA 02128,15,3
16 ELWYN 02124,2,1
16 FISHER 02120,16,2
16 GERALD 02135,31,1
16 GREENWICH 02120,10,1
16 HANOVER 02109,1,1
16 HARVARD 02134,21,2
16 HIGHGATE 02134,7,2
16 HOWES 02125,2,2
16 HUBBARDSTON 02125,2,1
16 HUMPHREYS 02125,1,1
16 IRMA 02124,1,1
16 LANGLEY 02135,5,1
16 LEAMINGTON 02135,2,2
16 MARMION 02130,2,1
16 MOUNT VERNON 02125,1,1
16 OXFORD 02111,10,1
16 PASADENA 02121,1,1
16 PETERBOROUGH 02215,45,1
16 PRINCETON 02128,1,2
16 SAVIN 02119,3,2
16 SAWYER 02134,16,1
16 SEWALL 02120,23,2
16 SHEAFE 02113,4,1
16 SOUTH 02135,24,4
16 STOCKWELL 02120,13,4
16 VICTORY 02122,6,1
16 WAIT 02120,12,3
160 ENDICOTT 02113,2,1
160 K 02127,1,1
160 PLEASANT 02125,3,1
160 SALEM 02113,5,4
161 BEACON 02116,2,3
161 COTTAGE 02128,3,1
161 LEYDEN 02128,2,14
161 RIVER 02126,3,1
161 SAVANNAH 02126,2,1
1612 COLUMBIA 02127,2,1
1619 TREMONT 02120,3,1
162 COTTAGE 02128,9,1
162 O 02127,3,1
162 PRINCE 02113,9,1
162 SAINT BOTOLPH 02115,6,1
1625 TREMONT 02120,14,1
163 CALUMET 02120,38,5
163 CHESTNUT HILL 02135,11,1
163 F 02127,1,1
163 SALEM 02113,1,1
163 STRATHMORE 02135,4,1
164 BIGELOW 02135,2,1
164 SAINT BOTOLPH 02115,6,1
165 BOYLSTON 02130,2,2
165 COTTAGE 02128,1,1
165 I 02127,2,4
1650 COLUMBIA 02127,3,1
1654 WASHINGTON 02118,3,8
166 GOVE 02128,2,2
166 KELTON 02134,3,1
166 NEWBURY 02116,1,2
1662 WASHINGTON 02118,3,1
167 BEACON 02116,4,2
167 FOREST HILLS 02130,10,1
1672 WASHINGTON 02118,3,2
168 FAIRMOUNT 02124,2,2
168 H 02127,1,1
168 NORTHAMPTON 02118,21,2
168 PRINCETON 02128,2,1
1680 COMMONWEALTH 02135,17,1
1682 COMMONWEALTH 02135,26,3
1686 WASHINGTON 02118,1,1
169 BEACON 02116,3,6
169 CORNELL 02131,6,1
169 ENDICOTT 02113,3,3
1691 COMMONWEALTH 02135,54,2
1692 WASHINGTON 02118,2,1
17 ARGYLE 02124,1,1
17 BARRINGTON 02124,2,1
17 BATTERY 02109,2,2
17 BICKFORD 02130,2,1
17 BURNEY 02120,9,5
17 CAZENOVE 02116,3,1
17 COURT 02108,3,1
17 CUFFLIN 02135,2,1
17 EDINBORO 02111,5,3
17 ELMIRA 02135,3,1
17 FLEET 02113,2,1
17 GREENWICH 02118,2,3
17 HENCHMAN 02113,4,2
17 HIGH 02122,4,1
17 HILLSIDE 02120,35,2
17 HINCKLEY 02125,1,8
17 HOLMAN 02134,5,2
17 IMRIE 02134,8,2
17 JONES 02124,1,2
17 KESWICK 02215,10,1
17 LEROY 02122,5,1
17 MANSFIELD 02134,1,1
17 MERCER 02127,1,1
17 NEWPORT 02125,1,1
17 PERKINS 02136,1,1
17 POND 02125,1,2
17 RADCLIFFE 02134,21,2
17 RAYMOND 02134,3,1
17 REEDSDALE 02134,26,1
17 ROWELL 02125,3,1
17 RUSSELL 02129,1,1
17 SACHEM 02120,26,1
17 SACKVILLE 02129,2,1
17 SHEAFE 02113,6,5
17 SNOW HILL 02113,2,2
17 SONOMA 02121,3,1
17 STILLMAN 02113,4,1
17 TAFT 02125,23,1
17 THACHER 02113,8,1
17 TILESTON 02113,4,1
17 WASHBURN 02125,5,1
17 WENSLEY 02120,23,1
17 WOODVILLE 02119,2,2
17 WORCESTER 02118,3,1
170 MAVERICK 02128,6,1
170 SAINT ALPHONSUS 02120,15,1
170 SAINT BOTOLPH 02115,5,1
170 TREMONT 02111,40,4
171 BEACON 02116,8,4
172 COMMONWEALTH 02116,3,1
172 MINOT 02122,1,1
172 SUMNER 02128,3,1
1721 CENTRE 02132,2,1
1724 WASHINGTON 02118,2,1
173 ATHENS 02127,5,1
173 CAMBRIDGE 02134,1,1
174 BAY STATE 02215,25,1
174 BOSTON 02125,6,1
1745 DORCHESTER 02124,1,3
175 BOWEN 02127,1,1
175 CLARE 02136,5,3
1753 COMMONWEALTH 02135,1,1
1757 COMMONWEALTH 02135,4,1
176 HARVARD 02124,2,1
176 HUMBOLDT 02121,7,5
177 MARLBOROUGH 02116,4,1
1776 COMMONWEALTH 02135,6,1
1778 COMMONWEALTH 02135,16,2
178 BOWDOIN 02122,6,1
178 BRIGHTON 02134,33,1
1789 COMMONWEALTH 02135,12,3
179 CHELSEA 02128,7,4
179 MASSACHUSETTS 02115,6,1
179 NORTHAMPTON 02118,27,1
18 BURNEY 02120,27,1
18 CENTRE 02124,2,1
18 COMMONWEALTH 02116,5,1
18 EASTMAN 02125,10,1
18 FLOYD 02124,1,10
18 GLENCOE 02135,8,3
18 HULL 02113,14,5
18 HYDE PARK 02130,16,1
18 IRVING 02114,3,1
18 ISABELLA 02116,1,1
18 LAUREL 02119,1,1
18 MASCOT 02124,3,1
18 MONTROSE 02119,1,1
18 MURDOCK 02135,3,1
18 NORMANDY 02121,2,1
18 PERRIN 02119,23,2
18 PRATT 02134,10,1
18 ROBESON 02130,1,3
18 ROCKVILLE 02119,2,1
18 RUGBY 02126,2,4
18 RUTLAND 02118,1,1
18 SHEAFE 02113,2,1
18 SUNSET 02120,6,3
18 TAFT 02125,1,1
18 WARDMAN 02119,4,3
18 WASHBURN 02125,3,1
18 WINCHESTER 02116,1,2
180 ENDICOTT 02113,1,1
180 FRANKLIN 02134,3,3
180 HILLSIDE 02120,16,2
180 SAINT ALPHONSUS 02120,14,1
181 ENDICOTT 02113,5,1
181 FAIRMOUNT 02124,2,1
181 GOLD 02127,1,1
181 M 02127,4,1
182 HEATH 02130,2,4
182 MARLBOROUGH 02116,1,1
183 ENDICOTT 02113,8,2
183 HILLSIDE 02120,10,2
183 LONDON 02128,8,1
184 MARION 02128,1,1
184 WASHINGTON 02135,1,1
185 ENDICOTT 02113,8,1
185 WASHINGTON 02135,15,1
1853 COMMONWEALTH 02135,10,1
1857 COMMONWEALTH 02135,4,3
1859 RIVER 02136,3,3
186 WEBSTER 02128,2,1
1868 COMMONWEALTH 02135,26,1
1871 COMMONWEALTH 02135,1,2
188 MAVERICK 02128,31,7
188 WASHINGTON 02135,2,1
189 BELGRADE 02131,2,3
189 BLUE HILL 02119,4,1
189 CAMBRIDGE 02134,2,1
19 ALBEMARLE 02115,1,1
19 BELLVISTA 02135,5,1
19 BODWELL 02125,1,2
19 BRAEMORE 02135,16,1
19 BURNEY 02120,16,7
19 BURR 02130,3,1
19 CHESTER 02134,73,1
19 CLAYMOSS 02135,5,1
19 CLIFTON 02119,2,1
19 DEWOLF 02125,4,2
19 DIX 02122,4,4
19 DORSET 02125,2,1
19 EGREMONT 02135,24,2
